Recon 2 ID	Name	InChIKey	ChEBI ID	HMDB ID	KEGG ID	PubChem Compound ID	LMSD ID
3mldz	1-methylimidazole-4-acetaldehyde	GCQHUBANENYTLB-UHFFFAOYSA-N	28104	HMDB04181	C05827	193545	
3mob	3-methyl-2-oxobutanoate	QHKABHOOEWYVLI-UHFFFAOYSA-N	16530	HMDB00019	C00141	49	LMFA01020274
3mop	3-methyl-2-oxopentanoate	JVQYSWDUAOAHFM-UHFFFAOYSA-N	35932	HMDB00491	C03465	47	
3mox4hoxm	3-Methoxy-4-hydroxymandelate	CGQCWMIAEPEHNQ-UHFFFAOYSA-N	20106	HMDB00291	C05584	1245	
3mox4hpac	(4-hydroxy-3-methoxyphenyl)acetaldehyde	GOQGGGANVKPMNH-UHFFFAOYSA-N	28111	HMDB05175	C05581	151276	
3moxtyr	3-Methoxytyramine	DIVQKHQLANKJQO-UHFFFAOYSA-N	742324	HMDB00022	C05587	1669	
3ocddcoa	3-hydroxyoctadecadienoylcoa						
3octdec2crn	3-hydroxyoctadecadienoylcarnitine						
3octdeccrn	3-hydroxyoctadecanoyl carnitine						
3octdece1coa	3-hydroxyoctadecenoylcoa						
3octdece1crn	3-hydroxy-octadecenoyl carnitine						
3octdectecoa	3,6,9,12-octadecatetraenoylcoa						
3octpencoa	3,6,9,12,15-octadecapentenoylcoa						
3odcoa	3-Oxodecanoyl-CoA	AZCVXMAPLHSIKY-HSJNEKGZSA-N	28528	HMDB03939	C05265	440606	LMFA07050074
3oddcoa	3-Oxododecanoyl-CoA	HQANBZHVWIDNQZ-GMHMEAMDSA-N	27868	HMDB03937	C05263	440604	LMFA07050013
3ohdcoa	3-oxopalmitoyl-CoA(4-)	NQMPLXPCRJOSHL-BBECNAHFSA-N	15491	HMDB06402	C05259	169621	
3ohodcoa	3-Oxooctadecanoyl-CoA	LGOGWHDPDVAUNY-LFZQUHGESA-N	50571	HMDB06498	C16216	22833663	LMFA07050079
3ohxccoa	3-Oxohexacosyl-CoA	VOMUIFOBQMYJPJ-CPIGOPAHSA-N	52977				
3otdcoa	3-Oxotetradecanoyl-CoA	IQNFBGHLIVBNOU-QSGBVPJFSA-N	28726	HMDB03935	C05261	11966197	LMFA07050082
3padsel	3'-Phosphoadenylylselenate	AZRLZPIFEZUZLW-KQYNXXCUSA-N		HMDB11104	C05696	24892762	
3pg	3-Phospho-D-glycerate	OSJPPGNTCRNQQC-UWTATZPHSA-N	17794	HMDB00807	C00597	439183	
3php	3-phosphonatooxypyruvate(3-)	LFLUCDOSQPJJBE-UHFFFAOYSA-N	30933	HMDB01024	C03232	105	
3sala	3-Sulfino-L-alanine	ADVPTQAUNPRNPO-REOHCLBHSA-N	16345	HMDB00996	C00606	28167170	
3snpyr	3-Sulfinopyruvate	JXYLQEMXCAAMOL-UHFFFAOYSA-N	1665	HMDB02332	C05527		
3spyr	3-sulfonatopyruvate(2-)	BUTHMSUEBYPMKJ-UHFFFAOYSA-N	16894	HMDB04045	C05528	440717	
3tdcrn	3-hydroxy-tetradecanoyl carnitine						
3tetd7ecoa	3-hydroxy tetradecenoyl-7-coa						
3tetd7ecoacrn	3-hydroxy tetradecenoyl-7-carnitine						
3thexddcoa	3-hydroxy trans7,10-hexadecadienoylcoa						
3thexddcoacrn	3-hydroxy trans7,10-hexadecadienoyl carnitine						
3ttetddcoa	3-hydroxy trans5,8tetradecadienoyl coa						
3ttetddcoacrn	3-hydroxy trans5,8tetradecadienoyl carnitine						
3uib	3-Ureidoisobutyrate	PHENTZNALBMCQD-UHFFFAOYSA-N	1670	HMDB02031	C05100		
3ump	3'-UMP(2-)	FOGRQMPFHUHIGU-XVFCMESISA-N	28895		C01368	101543	
42A3HP24DB	4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate	YCJNYHCCOXVYAF-UHFFFAOYSA-N		HMDB04083	C05645	440741	
44mctr	4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol	LFQXEZVYNCBVDO-PBJLWWPKSA-N	17813	HMDB01023	C11455	443212	LMST01010149
44mzym	14-demethyllanosterol	CHGIKSSZNBCNDW-QGBOJXOESA-N	18364	HMDB01286	C05108		LMST01010176
46dhoxquin	4,6-Dihydroxyquinoline	XFALURCRIGINGT-UHFFFAOYSA-N	28799	HMDB04077	C05639		
48dhoxquin	quinoline-4,8-diol	PYELIMVFIITPER-UHFFFAOYSA-N	28883		C05637	440737	
4aabutn	4-acetamidobutanoate	UZTFMUBKZQVKLK-UHFFFAOYSA-N	17645	HMDB03681	C02946	18189	
4abut	4-Aminobutanoate	BTCSSZJGUNDROE-UHFFFAOYSA-N	16865	HMDB00112	C00334	119	LMFA01100039
4abutn	4-Aminobutanal	DZQLQEYLEYWJIB-UHFFFAOYSA-N	17769	HMDB01080	C00555	118	
4aphdob	4-(2-aminophenyl)-2,4-dioxobutanoate	CAOVWYZQMPNAFJ-UHFFFAOYSA-N	17442	HMDB00978	C01252	472	
4fumacac	4-fumarylacetoacetate(2-)	GACSIVHAIFQKTC-UHFFFAOYSA-N	30907	HMDB01268	C01061	5280398	LMFA01170066
4h2oglt	4-hydroxy-2-oxoglutarate(2-)	WXSKVKPSMAHCSG-UHFFFAOYSA-N	30923	HMDB02070	C01127	599	
4hbz	4-hydroxybenzoate	FJKROLUGYXJWQN-UHFFFAOYSA-N	30763	HMDB00500	C00156		
4hbzcoa	4-hydroxybenoyl-CoA	LTVXPVBFJBTNIJ-MJEJKHSFSA-N		HMDB06467	C02949		
4hdebrisoquine	4 hydroxy debrisoquine	AKFURXZANOMQBD-UHFFFAOYSA-N	63800	HMDB06468			
4hexdtetcoa	4,7,10,13-hexadecatetraenoylcoa						
4hexdtricoa	4,7,10-hexadecatrienoylcoa						
4hglusa	L-4-hydroxyglutamic semialdehyde	XCXUZPXOFFRGGP-DMTCNVIQSA-N	27809	HMDB06556	C05938		
4hoxpacd	(4-hydroxyphenyl)acetaldehyde	IPRPPFIAVHPVJH-UHFFFAOYSA-N	15621	HMDB03767	C03765	440113	
4hphac	4-hydroxyphenylacetate	XQXPVVBIMDBYFF-UHFFFAOYSA-N	18101	HMDB00020	C00642	127	
4hpro_LT	trans-4-hydroxy-L-proline	PMMYEEVYMWASQN-DMTCNVIQSA-N	18095	HMDB00725	C01157	5810	
