"GSM862922_U87.1.CEL.gz"	"GSM862923_U87.2.CEL.gz"	"GSM862924_U87.3.CEL.gz"
"238979_at"	"A"	"A"	"A"
"238980_x_at"	"A"	"A"	"A"
"238981_at"	"A"	"A"	"A"
"238982_at"	"A"	"A"	"A"
"238983_at"	"A"	"A"	"A"
"238984_at"	"A"	"A"	"A"
"238985_at"	"A"	"A"	"A"
"238986_at"	"A"	"A"	"A"
"238987_at"	"A"	"A"	"A"
"238988_at"	"A"	"P"	"P"
"238989_at"	"A"	"A"	"A"
"238990_x_at"	"A"	"A"	"A"
"238991_at"	"A"	"A"	"A"
"238992_at"	"P"	"P"	"M"
"238993_at"	"A"	"A"	"A"
"238994_at"	"P"	"A"	"A"
"238995_at"	"A"	"A"	"A"
"238996_x_at"	"P"	"P"	"P"
"238997_at"	"A"	"A"	"A"
"238998_x_at"	"A"	"A"	"A"
"238999_at"	"A"	"A"	"P"
"239000_at"	"A"	"A"	"A"
"239001_at"	"P"	"A"	"A"
"239002_at"	"P"	"P"	"P"
"239003_at"	"A"	"A"	"A"
"239004_at"	"A"	"A"	"A"
"239005_at"	"A"	"A"	"P"
"239006_at"	"A"	"A"	"A"
"239007_at"	"P"	"M"	"P"
"239008_at"	"A"	"A"	"A"
"239009_at"	"A"	"A"	"A"
"239010_at"	"P"	"P"	"P"
"239011_at"	"A"	"A"	"A"
"239012_at"	"A"	"A"	"A"
"239013_at"	"A"	"A"	"A"
"239014_at"	"A"	"A"	"A"
"239015_at"	"A"	"A"	"A"
"239016_at"	"A"	"A"	"A"
"239017_at"	"P"	"P"	"M"
"239018_at"	"A"	"A"	"A"
"239019_at"	"A"	"A"	"A"
"239020_at"	"A"	"M"	"A"
"239021_at"	"A"	"A"	"A"
"239022_at"	"A"	"A"	"A"
"239023_at"	"A"	"A"	"A"
"239024_at"	"P"	"P"	"P"
"239025_at"	"A"	"A"	"A"
"239026_x_at"	"A"	"A"	"A"
"239027_at"	"A"	"A"	"A"
"239028_at"	"A"	"A"	"A"
"239029_at"	"A"	"A"	"A"
"239030_at"	"A"	"A"	"A"
"239031_at"	"A"	"A"	"P"
"239032_at"	"A"	"A"	"A"
"239033_at"	"A"	"A"	"A"
"239034_at"	"A"	"A"	"A"
"239035_at"	"A"	"A"	"A"
"239036_at"	"A"	"A"	"A"
"239037_at"	"A"	"A"	"A"
"239038_at"	"A"	"A"	"A"
"239039_at"	"A"	"A"	"A"
"239040_at"	"A"	"A"	"A"
"239041_at"	"M"	"A"	"A"
"239042_at"	"P"	"P"	"A"
"239043_at"	"P"	"P"	"P"
"239044_at"	"A"	"A"	"A"
"239045_at"	"A"	"A"	"A"
"239046_at"	"A"	"A"	"A"
"239047_at"	"A"	"M"	"A"
"239048_at"	"A"	"A"	"A"
"239049_at"	"P"	"M"	"A"
"239050_s_at"	"A"	"P"	"A"
"239051_at"	"A"	"A"	"A"
"239052_at"	"A"	"A"	"A"
"239053_at"	"P"	"P"	"P"
"239054_at"	"P"	"P"	"A"
"239055_at"	"A"	"A"	"A"
"239056_at"	"A"	"P"	"A"
"239057_at"	"A"	"A"	"A"
"239058_at"	"P"	"P"	"P"
"239059_at"	"A"	"A"	"A"
"239060_at"	"A"	"A"	"A"
"239061_at"	"A"	"A"	"A"
"239062_at"	"A"	"A"	"A"
"239063_at"	"A"	"A"	"P"
"239064_at"	"A"	"A"	"A"
"239065_at"	"A"	"A"	"A"
"239066_at"	"A"	"A"	"A"
"239067_s_at"	"A"	"A"	"A"
"239068_at"	"A"	"A"	"A"
"239069_s_at"	"P"	"P"	"P"
"239070_at"	"A"	"A"	"A"
"239071_at"	"M"	"A"	"M"
"239072_at"	"A"	"A"	"A"
"239073_at"	"A"	"A"	"A"
"239074_at"	"P"	"A"	"A"
"239075_at"	"A"	"A"	"A"
"239076_at"	"A"	"A"	"A"
"239077_at"	"A"	"A"	"A"
"239078_at"	"A"	"A"	"A"
"239079_at"	"A"	"A"	"A"
"239080_at"	"A"	"P"	"A"
"239081_at"	"A"	"A"	"A"
"239082_at"	"P"	"P"	"M"
"239083_at"	"P"	"P"	"A"
"239084_at"	"A"	"P"	"P"
"239085_at"	"A"	"P"	"A"
"239086_at"	"A"	"A"	"A"
"239087_at"	"A"	"A"	"A"
"239088_at"	"A"	"A"	"A"
"239089_at"	"A"	"A"	"A"
"239090_at"	"A"	"A"	"M"
"239091_at"	"A"	"A"	"M"
"239092_at"	"A"	"A"	"A"
"239093_at"	"A"	"A"	"A"
"239094_at"	"A"	"M"	"A"
"239095_at"	"A"	"A"	"A"
"239096_at"	"P"	"P"	"P"
"239097_at"	"A"	"A"	"A"
"239098_at"	"A"	"A"	"A"
"239099_at"	"A"	"A"	"A"
"239100_x_at"	"A"	"A"	"A"
"239101_at"	"P"	"A"	"M"
"239102_s_at"	"P"	"P"	"P"
"239103_at"	"A"	"A"	"A"
"239104_at"	"A"	"A"	"A"
"239105_at"	"A"	"A"	"A"
"239106_at"	"P"	"P"	"P"
"239107_at"	"A"	"A"	"A"
"239108_at"	"P"	"P"	"P"
"239109_at"	"A"	"A"	"A"
"239110_s_at"	"A"	"A"	"A"
"239111_at"	"A"	"A"	"A"
"239112_at"	"A"	"A"	"A"
"239113_at"	"A"	"A"	"A"
"239114_at"	"A"	"A"	"A"
"239115_at"	"A"	"A"	"A"
"239116_at"	"A"	"A"	"A"
"239117_at"	"A"	"A"	"A"
"239118_at"	"A"	"A"	"A"
"239119_at"	"A"	"A"	"A"
"239120_at"	"A"	"A"	"A"
"239121_at"	"A"	"A"	"A"
"239122_at"	"A"	"A"	"A"
"239123_at"	"A"	"A"	"A"
"239124_at"	"A"	"A"	"A"
"239125_at"	"A"	"A"	"A"
"239126_at"	"A"	"A"	"A"
"239127_at"	"M"	"A"	"A"
"239128_at"	"A"	"A"	"A"
"239129_at"	"A"	"A"	"A"
"239130_at"	"A"	"A"	"A"
"239131_at"	"A"	"A"	"A"
"239132_at"	"A"	"A"	"A"
"239133_at"	"P"	"P"	"P"
"239134_at"	"A"	"M"	"P"
"239135_at"	"A"	"A"	"A"
"239136_at"	"A"	"A"	"A"
"239137_x_at"	"A"	"A"	"A"
"239138_at"	"P"	"P"	"P"
"239139_at"	"M"	"A"	"A"
"239140_at"	"M"	"A"	"P"
"239141_at"	"A"	"A"	"A"
"239142_at"	"A"	"A"	"A"
"239143_x_at"	"P"	"P"	"P"
"239144_at"	"A"	"A"	"A"
"239145_at"	"A"	"A"	"A"
"239146_at"	"A"	"A"	"A"
"239147_at"	"P"	"M"	"P"
"239148_at"	"A"	"A"	"A"
"239149_at"	"A"	"P"	"A"
"239150_at"	"A"	"A"	"A"
"239151_at"	"P"	"P"	"P"
"239152_at"	"A"	"A"	"A"
"239153_at"	"A"	"A"	"A"
"239154_at"	"A"	"A"	"A"
"239155_at"	"A"	"A"	"A"
"239156_at"	"A"	"A"	"A"
"239157_at"	"A"	"A"	"A"
"239158_at"	"A"	"A"	"A"
"239159_at"	"A"	"A"	"A"
"239160_at"	"A"	"A"	"A"
"239161_at"	"A"	"A"	"A"
"239162_at"	"A"	"A"	"A"
"239163_at"	"A"	"A"	"A"
"239164_at"	"A"	"A"	"A"
"239165_at"	"A"	"A"	"P"
"239166_at"	"A"	"A"	"A"
"239167_at"	"A"	"A"	"A"
"239168_at"	"A"	"A"	"A"
"239169_at"	"A"	"A"	"A"
"239170_at"	"A"	"A"	"A"
"239171_at"	"A"	"A"	"A"
"239172_x_at"	"A"	"A"	"A"
"239173_at"	"A"	"A"	"A"
"239174_at"	"A"	"A"	"A"
"239175_at"	"A"	"A"	"A"
"239176_at"	"A"	"A"	"A"
"239177_at"	"A"	"A"	"A"
"239178_at"	"A"	"A"	"A"
"239179_at"	"M"	"A"	"A"
"239180_at"	"A"	"A"	"A"
"239181_at"	"A"	"A"	"A"
"239182_at"	"A"	"A"	"A"
"239183_at"	"A"	"A"	"A"
"239184_at"	"A"	"A"	"A"
"239185_at"	"A"	"A"	"A"
"239186_at"	"A"	"A"	"A"
"239187_at"	"A"	"A"	"A"
"239188_at"	"A"	"A"	"A"
"239189_at"	"A"	"A"	"A"
"239190_at"	"A"	"A"	"A"
"239191_at"	"A"	"A"	"A"
"239192_at"	"P"	"A"	"P"
"239193_at"	"A"	"A"	"A"
"239194_at"	"A"	"A"	"A"
"239195_at"	"A"	"A"	"A"
"239196_at"	"A"	"A"	"A"
"239197_s_at"	"A"	"A"	"A"
"239198_at"	"P"	"P"	"A"
"239199_at"	"A"	"A"	"A"
"239200_at"	"A"	"A"	"A"
"239201_at"	"A"	"A"	"A"
"239202_at"	"P"	"P"	"P"
"239203_at"	"A"	"A"	"A"
"239204_at"	"A"	"A"	"A"
"239205_s_at"	"A"	"A"	"A"
"239206_at"	"A"	"A"	"A"
"239207_at"	"P"	"P"	"P"
"239208_s_at"	"P"	"P"	"P"
"239209_at"	"A"	"A"	"A"
"239210_at"	"A"	"A"	"A"
"239211_at"	"M"	"A"	"P"
"239212_at"	"A"	"M"	"A"
"239213_at"	"A"	"A"	"A"
"239214_at"	"A"	"A"	"A"
"239215_at"	"A"	"A"	"A"
"239216_at"	"A"	"A"	"A"
"239217_x_at"	"A"	"A"	"A"
"239218_at"	"A"	"A"	"A"
"239219_at"	"A"	"A"	"A"
"239220_at"	"A"	"A"	"A"
"239221_at"	"A"	"A"	"A"
"239222_at"	"A"	"A"	"A"
"239223_s_at"	"A"	"A"	"A"
"239224_at"	"A"	"A"	"A"
"239225_at"	"A"	"A"	"P"
"239226_at"	"A"	"A"	"A"
"239227_at"	"P"	"P"	"M"
"239228_at"	"P"	"A"	"P"
"239229_at"	"P"	"P"	"P"
"239230_at"	"A"	"A"	"A"
"239231_at"	"P"	"P"	"A"
"239232_at"	"A"	"A"	"A"
"239233_at"	"A"	"P"	"P"
"239234_at"	"A"	"A"	"A"
"239235_at"	"A"	"A"	"A"
"239236_at"	"P"	"P"	"P"
"239237_at"	"A"	"A"	"A"
"239238_at"	"A"	"A"	"M"
"239239_at"	"A"	"A"	"A"
"239240_at"	"A"	"M"	"A"
"239241_at"	"A"	"A"	"A"
"239242_at"	"P"	"A"	"A"
"239243_at"	"A"	"A"	"A"
"239244_at"	"A"	"A"	"A"
"239245_at"	"A"	"A"	"A"
"239246_at"	"P"	"P"	"P"
"239247_at"	"A"	"A"	"A"
"239248_at"	"A"	"A"	"A"
"239249_at"	"A"	"A"	"A"
"239250_at"	"A"	"A"	"A"
"239251_at"	"P"	"P"	"P"
"239252_at"	"P"	"P"	"P"
"239253_at"	"P"	"P"	"P"
"239254_at"	"A"	"A"	"A"
"239255_at"	"A"	"A"	"A"
"239256_at"	"A"	"A"	"A"
"239257_at"	"A"	"A"	"A"
"239258_at"	"M"	"P"	"P"
"239259_at"	"A"	"P"	"P"
"239260_at"	"A"	"A"	"A"
"239261_s_at"	"A"	"A"	"A"
"239262_at"	"A"	"A"	"A"
"239263_at"	"A"	"A"	"A"
"239264_at"	"P"	"P"	"M"
"239265_at"	"A"	"A"	"A"
"239266_at"	"A"	"A"	"A"
"239267_at"	"M"	"A"	"A"
"239268_at"	"A"	"A"	"A"
"239269_at"	"A"	"A"	"A"
"239270_at"	"A"	"A"	"A"
"239271_at"	"A"	"A"	"A"
"239272_at"	"A"	"A"	"A"
"239273_s_at"	"A"	"A"	"A"
"239274_at"	"A"	"A"	"A"
"239275_at"	"A"	"A"	"M"
"239276_at"	"A"	"A"	"A"
"239277_at"	"P"	"P"	"A"
"239278_at"	"P"	"P"	"P"
"239279_at"	"A"	"A"	"A"
"239280_at"	"A"	"A"	"A"
"239281_at"	"A"	"A"	"A"
"239282_at"	"A"	"A"	"A"
"239283_at"	"A"	"A"	"A"
"239284_at"	"A"	"P"	"P"
"239285_at"	"A"	"A"	"A"
"239286_at"	"A"	"A"	"P"
"239287_at"	"A"	"A"	"A"
"239288_at"	"A"	"A"	"A"
"239289_x_at"	"A"	"P"	"P"
"239290_at"	"A"	"A"	"A"
"239291_at"	"A"	"A"	"A"
"239292_at"	"A"	"A"	"A"
"239293_at"	"A"	"A"	"A"
"239294_at"	"A"	"A"	"A"
"239295_at"	"A"	"A"	"A"
"239296_at"	"A"	"A"	"A"
"239297_at"	"A"	"A"	"A"
"239298_at"	"A"	"A"	"A"
"239299_at"	"A"	"A"	"A"
"239300_at"	"P"	"P"	"M"
"239301_at"	"A"	"A"	"A"
"239302_s_at"	"A"	"A"	"A"
"239303_at"	"A"	"A"	"A"
"239304_at"	"A"	"A"	"A"
"239305_at"	"A"	"A"	"A"
"239306_at"	"A"	"A"	"A"
"239307_at"	"A"	"A"	"A"
"239308_at"	"A"	"A"	"A"
"239309_at"	"A"	"A"	"A"
"239310_at"	"A"	"A"	"A"
"239311_at"	"P"	"A"	"M"
"239312_at"	"A"	"A"	"A"
"239313_at"	"A"	"P"	"A"
"239314_at"	"A"	"A"	"A"
"239315_at"	"A"	"A"	"A"
"239316_at"	"A"	"A"	"P"
"239317_at"	"A"	"A"	"A"
"239318_at"	"A"	"A"	"A"
"239319_at"	"A"	"A"	"A"
"239320_at"	"A"	"A"	"A"
"239321_at"	"A"	"A"	"A"
"239322_at"	"A"	"P"	"A"
"239323_at"	"A"	"A"	"A"
"239324_at"	"A"	"A"	"A"
"239325_at"	"A"	"A"	"A"
"239326_at"	"A"	"A"	"A"
"239327_at"	"A"	"A"	"A"
"239328_at"	"A"	"A"	"P"
"239329_at"	"A"	"A"	"A"
"239330_at"	"A"	"A"	"A"
"239331_at"	"P"	"P"	"P"
"239332_at"	"A"	"A"	"A"
"239333_x_at"	"A"	"A"	"A"
"239334_at"	"A"	"A"	"A"
"239335_at"	"A"	"A"	"A"
"239336_at"	"A"	"A"	"A"
"239337_at"	"A"	"A"	"A"
"239338_x_at"	"A"	"A"	"A"
"239339_at"	"A"	"A"	"A"
"239340_at"	"A"	"A"	"A"
"239341_at"	"A"	"A"	"A"
"239342_at"	"P"	"P"	"A"
"239343_at"	"A"	"P"	"A"
"239344_at"	"A"	"A"	"A"
"239345_at"	"A"	"A"	"A"
"239346_at"	"P"	"P"	"P"
"239347_at"	"A"	"P"	"A"
"239348_at"	"A"	"A"	"P"
"239349_at"	"A"	"A"	"M"
"239350_at"	"A"	"A"	"A"
"239351_at"	"A"	"A"	"A"
"239352_at"	"P"	"P"	"P"
"239353_at"	"A"	"A"	"A"
"239354_at"	"A"	"A"	"A"
"239355_at"	"P"	"P"	"P"
"239356_at"	"A"	"A"	"A"
"239357_at"	"A"	"A"	"A"
"239358_at"	"A"	"A"	"A"
"239359_at"	"A"	"A"	"A"
"239360_at"	"A"	"A"	"A"
"239361_at"	"A"	"A"	"A"
"239362_at"	"A"	"A"	"A"
"239363_at"	"P"	"P"	"P"
"239364_at"	"A"	"A"	"A"
"239365_at"	"A"	"A"	"A"
"239366_at"	"A"	"A"	"A"
"239367_at"	"P"	"P"	"P"
"239368_at"	"A"	"A"	"A"
"239369_at"	"A"	"A"	"P"
"239370_at"	"A"	"A"	"A"
"239371_at"	"A"	"A"	"A"
"239372_at"	"A"	"A"	"A"
"239373_at"	"A"	"A"	"A"
"239374_at"	"A"	"A"	"A"
"239375_at"	"A"	"A"	"A"
"239376_at"	"P"	"P"	"P"
"239377_at"	"P"	"P"	"P"
"239378_at"	"A"	"A"	"A"
"239379_at"	"A"	"A"	"P"
"239380_at"	"A"	"A"	"A"
"239381_at"	"P"	"A"	"A"
"239382_at"	"A"	"A"	"A"
"239383_at"	"A"	"A"	"A"
"239384_at"	"A"	"A"	"A"
"239385_at"	"A"	"A"	"A"
"239386_at"	"A"	"A"	"A"
"239387_at"	"A"	"A"	"A"
"239388_at"	"A"	"A"	"A"
"239389_at"	"A"	"A"	"A"
"239390_at"	"A"	"A"	"A"
"239391_at"	"A"	"P"	"P"
"239392_s_at"	"P"	"A"	"P"
"239393_at"	"A"	"A"	"A"
"239394_at"	"A"	"A"	"A"
"239395_at"	"A"	"A"	"A"
"239396_at"	"A"	"A"	"A"
"239397_at"	"A"	"A"	"A"
"239398_at"	"A"	"A"	"A"
"239399_at"	"A"	"A"	"A"
"239400_at"	"A"	"P"	"A"
"239401_at"	"A"	"A"	"A"
"239402_at"	"A"	"A"	"A"
"239403_at"	"A"	"A"	"A"
"239404_at"	"P"	"P"	"P"
"239405_at"	"A"	"A"	"A"
"239406_at"	"A"	"A"	"A"
"239407_at"	"A"	"A"	"A"
"239408_at"	"A"	"A"	"A"
"239409_at"	"P"	"A"	"P"
"239410_at"	"A"	"A"	"A"
"239411_at"	"A"	"A"	"A"
"239412_at"	"A"	"A"	"A"
"239413_at"	"P"	"P"	"P"
"239414_at"	"A"	"M"	"A"
"239415_at"	"P"	"P"	"A"
"239416_at"	"A"	"A"	"A"
"239417_x_at"	"A"	"A"	"A"
"239418_x_at"	"A"	"A"	"P"
"239419_at"	"A"	"A"	"A"
"239420_at"	"A"	"A"	"A"
"239421_at"	"A"	"A"	"A"
"239422_at"	"A"	"A"	"A"
"239423_at"	"A"	"M"	"P"
"239424_at"	"A"	"A"	"A"
"239425_at"	"A"	"A"	"A"
"239426_at"	"A"	"A"	"M"
"239427_at"	"A"	"A"	"A"
"239428_at"	"A"	"A"	"A"
"239429_at"	"A"	"A"	"A"
"239430_at"	"A"	"A"	"A"
"239431_at"	"A"	"A"	"A"
"239432_at"	"A"	"P"	"A"
"239433_at"	"A"	"A"	"A"
"239434_at"	"A"	"A"	"A"
"239435_x_at"	"P"	"P"	"M"
"239436_at"	"A"	"A"	"A"
"239437_at"	"A"	"A"	"A"
"239438_at"	"P"	"A"	"A"
"239439_at"	"A"	"A"	"A"
"239440_at"	"A"	"A"	"A"
"239441_at"	"A"	"A"	"A"
"239442_at"	"A"	"A"	"A"
"239443_at"	"P"	"A"	"P"
"239444_at"	"A"	"A"	"A"
"239445_at"	"A"	"A"	"A"
"239446_x_at"	"A"	"A"	"P"
"239447_at"	"A"	"A"	"A"
"239448_at"	"A"	"M"	"A"
"239449_at"	"A"	"A"	"A"
"239450_at"	"A"	"A"	"A"
"239451_at"	"M"	"A"	"A"
"239452_at"	"M"	"A"	"A"
"239453_at"	"A"	"A"	"A"
"239454_at"	"A"	"A"	"A"
"239455_at"	"A"	"A"	"A"
"239456_at"	"A"	"A"	"A"
"239457_at"	"A"	"A"	"A"
"239458_at"	"A"	"A"	"A"
"239459_s_at"	"A"	"A"	"A"
"239460_at"	"A"	"A"	"A"
"239461_at"	"A"	"A"	"A"
"239462_at"	"A"	"A"	"A"
"239463_at"	"A"	"A"	"A"
"239464_at"	"A"	"A"	"A"
"239465_at"	"A"	"A"	"A"
"239466_at"	"P"	"P"	"P"
"239467_at"	"A"	"A"	"A"
"239468_at"	"A"	"A"	"A"
"239469_at"	"A"	"A"	"A"
"239470_at"	"A"	"A"	"A"
"239471_at"	"A"	"A"	"A"
"239472_at"	"A"	"A"	"A"
"239473_x_at"	"A"	"A"	"A"
"239474_at"	"A"	"A"	"P"
"239475_at"	"A"	"A"	"A"
"239476_at"	"A"	"A"	"A"
"239477_at"	"A"	"A"	"A"
"239478_x_at"	"P"	"P"	"P"
"239479_x_at"	"A"	"A"	"A"
"239480_at"	"A"	"A"	"A"
"239481_at"	"P"	"P"	"P"
"239482_x_at"	"A"	"A"	"A"
"239483_at"	"A"	"A"	"A"
"239484_at"	"A"	"A"	"A"
"239485_at"	"A"	"A"	"A"
"239486_at"	"A"	"A"	"A"
"239487_at"	"A"	"P"	"A"
"239488_at"	"A"	"A"	"A"
"239489_at"	"A"	"A"	"A"
"239490_at"	"A"	"A"	"A"
"239491_at"	"A"	"A"	"A"
"239492_at"	"A"	"A"	"A"
"239493_at"	"A"	"A"	"A"
"239494_at"	"A"	"A"	"A"
"239495_at"	"A"	"A"	"A"
"239496_at"	"A"	"A"	"M"
"239497_at"	"A"	"A"	"A"
"239498_at"	"A"	"A"	"A"
"239499_at"	"A"	"A"	"A"
"239500_at"	"A"	"A"	"A"
"239501_at"	"A"	"A"	"A"
"239502_at"	"A"	"A"	"A"
"239503_at"	"P"	"P"	"P"
"239504_at"	"A"	"A"	"A"
"239505_at"	"A"	"A"	"A"
"239506_s_at"	"A"	"A"	"A"
"239507_at"	"A"	"A"	"A"
"239508_x_at"	"A"	"A"	"A"
"239509_at"	"A"	"A"	"A"
"239510_at"	"A"	"A"	"A"
"239511_s_at"	"A"	"A"	"A"
"239512_at"	"A"	"P"	"P"
"239513_at"	"A"	"A"	"A"
"239514_at"	"A"	"A"	"A"
"239515_at"	"A"	"M"	"M"
"239516_at"	"P"	"P"	"P"
"239517_at"	"A"	"A"	"A"
"239518_at"	"A"	"A"	"A"
"239519_at"	"P"	"P"	"P"
"239520_at"	"A"	"A"	"A"
"239521_at"	"A"	"A"	"A"
"239522_at"	"A"	"A"	"P"
"239523_at"	"A"	"A"	"A"
"239524_at"	"A"	"A"	"A"
"239525_at"	"A"	"A"	"A"
"239526_x_at"	"A"	"A"	"A"
"239527_at"	"A"	"A"	"A"
"239528_at"	"P"	"P"	"A"
"239529_at"	"A"	"A"	"A"
"239530_at"	"A"	"A"	"A"
"239531_at"	"A"	"A"	"A"
"239532_at"	"A"	"P"	"M"
"239533_at"	"A"	"A"	"A"
"239534_at"	"A"	"A"	"A"
"239535_at"	"A"	"A"	"A"
"239536_at"	"A"	"A"	"A"
"239537_at"	"A"	"A"	"A"
"239538_at"	"A"	"P"	"P"
"239539_at"	"A"	"A"	"A"
"239540_at"	"A"	"A"	"A"
"239541_at"	"A"	"A"	"A"
"239542_at"	"A"	"A"	"A"
"239543_s_at"	"M"	"A"	"A"
"239544_at"	"A"	"A"	"A"
"239545_at"	"A"	"M"	"P"
"239546_at"	"M"	"A"	"A"
"239547_at"	"A"	"A"	"A"
"239548_at"	"A"	"A"	"A"
"239549_at"	"A"	"A"	"A"
"239550_at"	"A"	"A"	"A"
"239551_at"	"A"	"A"	"A"
"239552_at"	"A"	"A"	"A"
"239553_at"	"A"	"A"	"A"
"239554_at"	"A"	"A"	"A"
"239555_at"	"A"	"A"	"A"
"239556_at"	"A"	"A"	"A"
"239557_at"	"A"	"A"	"A"
"239558_at"	"A"	"A"	"A"
"239559_at"	"A"	"A"	"A"
"239560_at"	"A"	"A"	"A"
"239561_at"	"A"	"A"	"A"
"239562_at"	"P"	"P"	"M"
"239563_at"	"A"	"A"	"A"
"239564_at"	"A"	"A"	"A"
"239565_at"	"A"	"A"	"A"
"239566_at"	"A"	"A"	"A"
"239567_at"	"A"	"A"	"A"
"239568_at"	"A"	"A"	"A"
"239569_at"	"A"	"A"	"A"
"239570_at"	"A"	"A"	"A"
"239571_at"	"M"	"P"	"A"
"239572_at"	"A"	"A"	"A"
"239573_at"	"A"	"A"	"A"
"239574_at"	"A"	"A"	"A"
"239575_at"	"A"	"A"	"A"
"239576_at"	"A"	"A"	"A"
"239577_at"	"P"	"A"	"M"
"239578_at"	"A"	"A"	"A"
"239579_at"	"A"	"A"	"A"
"239580_at"	"A"	"A"	"A"
"239581_at"	"A"	"A"	"A"
"239582_at"	"A"	"A"	"A"
"239583_x_at"	"A"	"A"	"A"
"239584_at"	"A"	"A"	"A"
"239585_at"	"A"	"A"	"A"
"239586_at"	"A"	"A"	"A"
"239587_at"	"A"	"M"	"P"
"239588_s_at"	"A"	"A"	"A"
"239589_at"	"A"	"A"	"A"
"239590_x_at"	"A"	"A"	"A"
"239591_at"	"A"	"A"	"A"
"239592_at"	"A"	"A"	"A"
"239593_at"	"A"	"A"	"A"
"239594_at"	"A"	"A"	"A"
"239595_at"	"A"	"A"	"A"
"239596_at"	"A"	"A"	"P"
"239597_at"	"A"	"A"	"A"
"239598_s_at"	"A"	"A"	"A"
"239599_at"	"A"	"A"	"A"
"239600_at"	"P"	"P"	"P"
"239601_at"	"A"	"A"	"A"
"239602_at"	"A"	"A"	"A"
"239603_x_at"	"P"	"P"	"P"
"239604_at"	"P"	"A"	"A"
"239605_x_at"	"A"	"A"	"A"
"239606_at"	"A"	"A"	"A"
"239607_at"	"A"	"A"	"M"
"239608_at"	"A"	"A"	"A"
"239609_s_at"	"A"	"A"	"A"
"239610_at"	"A"	"A"	"A"
"239611_at"	"A"	"A"	"A"
"239612_at"	"A"	"A"	"A"
"239613_at"	"A"	"A"	"A"
"239614_x_at"	"A"	"A"	"A"
"239615_at"	"A"	"A"	"A"
"239616_at"	"A"	"A"	"A"
"239617_at"	"A"	"A"	"P"
"239618_at"	"A"	"A"	"A"
"239619_at"	"A"	"A"	"A"
"239620_at"	"A"	"A"	"A"
"239621_at"	"A"	"A"	"A"
"239622_at"	"A"	"A"	"A"
"239623_at"	"A"	"A"	"A"
"239624_at"	"A"	"A"	"A"
"239625_at"	"A"	"A"	"A"
"239626_x_at"	"A"	"A"	"A"
"239627_at"	"A"	"A"	"A"
"239628_at"	"A"	"A"	"A"
"239629_at"	"M"	"P"	"P"
"239630_at"	"A"	"P"	"A"
"239631_at"	"A"	"A"	"A"
"239632_at"	"A"	"A"	"A"
"239633_at"	"P"	"M"	"M"
"239634_at"	"A"	"A"	"A"
"239635_at"	"A"	"A"	"A"
"239636_at"	"A"	"A"	"A"
"239637_at"	"A"	"A"	"A"
"239638_at"	"A"	"A"	"A"
"239639_at"	"A"	"A"	"A"
"239640_at"	"A"	"A"	"A"
"239641_at"	"A"	"A"	"A"
"239642_at"	"A"	"A"	"A"
"239643_at"	"A"	"A"	"A"
"239644_at"	"P"	"P"	"P"
"239645_at"	"A"	"A"	"A"
"239646_at"	"P"	"P"	"P"
"239647_at"	"A"	"A"	"A"
"239648_at"	"A"	"P"	"P"
"239649_at"	"A"	"A"	"M"
"239650_at"	"A"	"A"	"A"
"239651_at"	"A"	"A"	"A"
"239652_at"	"A"	"A"	"A"
"239653_at"	"A"	"A"	"A"
"239654_at"	"P"	"P"	"A"
"239655_at"	"P"	"A"	"A"
"239656_at"	"A"	"A"	"A"
"239657_x_at"	"A"	"A"	"A"
"239658_at"	"A"	"A"	"A"
"239659_at"	"A"	"A"	"A"
"239660_at"	"A"	"A"	"P"
"239661_at"	"A"	"A"	"A"
"239662_x_at"	"A"	"A"	"A"
"239663_x_at"	"A"	"A"	"A"
"239664_at"	"A"	"A"	"A"
"239665_at"	"A"	"A"	"A"
"239666_at"	"A"	"A"	"A"
"239667_at"	"A"	"A"	"A"
"239668_at"	"A"	"A"	"A"
"239669_at"	"A"	"A"	"A"
"239670_at"	"A"	"A"	"A"
"239671_at"	"A"	"A"	"A"
"239672_at"	"A"	"A"	"M"
"239673_at"	"A"	"A"	"A"
"239674_at"	"A"	"A"	"A"
"239675_at"	"A"	"A"	"A"
"239676_x_at"	"A"	"A"	"A"
"239677_at"	"A"	"A"	"A"
"239678_at"	"P"	"P"	"P"
"239679_at"	"A"	"A"	"A"
"239680_at"	"P"	"P"	"P"
"239681_at"	"P"	"A"	"A"
"239682_at"	"P"	"M"	"P"
"239683_at"	"A"	"A"	"A"
"239684_at"	"A"	"A"	"A"
"239685_at"	"A"	"A"	"A"
"239686_at"	"A"	"A"	"A"
"239687_at"	"P"	"P"	"P"
"239688_at"	"A"	"A"	"A"
"239689_at"	"A"	"A"	"A"
"239690_at"	"A"	"A"	"A"
"239691_at"	"A"	"A"	"A"
"239692_at"	"A"	"A"	"A"
"239693_at"	"A"	"A"	"A"
"239694_at"	"A"	"A"	"A"
"239695_at"	"A"	"A"	"A"
"239696_at"	"A"	"A"	"P"
"239697_x_at"	"A"	"A"	"A"
"239698_at"	"M"	"A"	"A"
"239699_s_at"	"A"	"M"	"A"
"239700_at"	"A"	"A"	"A"
"239701_at"	"A"	"A"	"A"
"239702_x_at"	"A"	"A"	"A"
"239703_at"	"A"	"A"	"A"
"239704_at"	"A"	"A"	"A"
"239705_at"	"A"	"A"	"A"
