"affy_hg_u133_plus_2"	"entrezgene"
"235484_at"	375743
"226110_at"	375743
"243995_at"	375743
"241308_at"	NA
"207016_s_at"	8854
"207015_s_at"	8854
"240435_at"	8854
"216542_x_at"	NA
"219482_at"	54093
"213989_x_at"	54093
"221324_at"	50834
"216557_x_at"	NA
"218746_at"	55080
"218747_s_at"	55080
"234336_s_at"	164395
"232357_at"	164395
"234337_at"	164395
"215886_x_at"	NA
"227903_x_at"	91978
"207820_at"	124
"238255_at"	NA
"37079_at"	NA
"215920_s_at"	NA
"211650_x_at"	NA
"217818_s_at"	10093
"211672_s_at"	10093
"217817_at"	10093
"200063_s_at"	NA
"1554715_at"	414926
"1554716_s_at"	414926
"1569983_at"	NA
"1553340_s_at"	NA
"223590_at"	NA
"216315_x_at"	NA
"1555344_at"	NA
"221166_at"	8074
"1555522_s_at"	NA
"219065_s_at"	NA
"225785_at"	221035
"235016_at"	221035
"234927_s_at"	79917
"1563318_s_at"	79917
"222944_s_at"	79917
"219965_s_at"	79917
"205751_at"	6456
"203814_s_at"	4835
"236412_at"	100505983
"226159_at"	285636
"212901_s_at"	23283
"212905_at"	23283
"1559501_at"	100506428
"1559917_a_at"	100506428
"225949_at"	340371
"212453_at"	26128
"217077_s_at"	9568
"211679_x_at"	9568
"209991_x_at"	9568
"209990_s_at"	9568
"225670_at"	134145
"1556505_at"	100131366
"1554547_at"	220965
"214914_at"	220965
"204602_at"	22943
"201133_s_at"	9867
"1552842_at"	266722
"223902_at"	NA
"231492_at"	101060004
"207315_at"	10666
"203909_at"	10479
"215949_x_at"	NA
"239547_at"	64711
"201985_at"	9897
"231019_x_at"	255057
"215325_x_at"	255057
"1552355_s_at"	255057
"1552354_at"	255057
"222484_s_at"	9547
"218002_s_at"	9547
"204745_x_at"	4495
"1552858_at"	158809
"218282_at"	55741
"77508_r_at"	79874
"219057_at"	79874
"74694_s_at"	79874
"218969_at"	100529144
"1560827_at"	NA
"209008_x_at"	3856
"236854_at"	284749
"211991_s_at"	3113
"211990_at"	3113
"213537_at"	3113
"1560548_at"	NA
"212273_x_at"	2778
"217057_s_at"	2778
"200981_x_at"	2778
"200780_x_at"	2778
"214548_x_at"	2778
"211858_x_at"	2778
"214157_at"	2778
"219591_at"	51286
"216820_at"	NA
"235955_at"	153562
"235141_at"	153562
"213512_at"	122616
"234485_at"	NA
"209083_at"	11151
"228339_at"	641700
"227780_s_at"	641700
"1555687_a_at"	170482
"1552552_s_at"	170482
"231700_at"	NA
"1563007_at"	NA
"244747_at"	255743
"225911_at"	255743
"212336_at"	2036
"212339_at"	2036
"208588_at"	NA
"1554741_s_at"	NA
"1552421_a_at"	NA
"213651_at"	27124
"220498_at"	10880
"234288_at"	NA
"1562827_at"	100628307
"228047_at"	26775
"211852_s_at"	8455
"212517_at"	8455
"215841_at"	2979
"209079_x_at"	56111
"211876_x_at"	56111
"215836_s_at"	56111
"205717_x_at"	56111
"211066_x_at"	56111
"216352_x_at"	56111
"36994_at"	51005
"227841_at"	51005
"219082_at"	51005
"36994_at"	752014
"227841_at"	752014
"219082_at"	752014
"227083_at"	145173
"227100_at"	145173
"219991_at"	56606
"236101_at"	56606
"240223_at"	56606
"209079_x_at"	56103
"211876_x_at"	56103
"215836_s_at"	56103
"205717_x_at"	56103
"211066_x_at"	56103
"216352_x_at"	56103
"219177_at"	55299
"1566301_at"	80352
"219916_s_at"	80352
"232913_at"	283578
"242617_at"	283578
"225343_at"	283578
"217977_at"	51734
"220081_x_at"	158160
"224058_s_at"	158160
"1566917_at"	93668
"205089_at"	7553
"1559980_at"	7553
"234914_at"	7553
"34260_at"	9894
"209528_s_at"	9894
"242100_at"	337876
"201178_at"	25793
"1554423_a_at"	25793
"218102_at"	51071
"213550_s_at"	55374
"221096_s_at"	55374
"206201_s_at"	4223
"1554542_at"	153328
"231372_at"	153328
"205105_at"	4124
"226538_at"	4124
"235103_at"	4124
"219692_at"	79412
"219948_x_at"	79799
"206029_at"	27063
"209079_x_at"	56110
"211876_x_at"	56110
"215836_s_at"	56110
"205717_x_at"	56110
"211066_x_at"	56110
"216352_x_at"	56110
"208826_x_at"	3094
"1555961_a_at"	3094
"207721_x_at"	3094
"200093_s_at"	3094
"218919_at"	79752
"220080_at"	3299
"210977_s_at"	3299
"233881_s_at"	54472
"222469_s_at"	54472
"217930_s_at"	54472
"237342_at"	54472
"220302_at"	4117
"1555315_a_at"	4117
"209079_x_at"	56102
"211876_x_at"	56102
"215836_s_at"	56102
"205717_x_at"	56102
"211066_x_at"	56102
"216352_x_at"	56102
"1561223_at"	NA
"203995_at"	755
"203994_s_at"	755
"203996_s_at"	755
"213943_at"	7291
"1553326_at"	122042
"212835_at"	23172
"212837_at"	23172
"218115_at"	55723
"228154_at"	84167
"232730_at"	84167
"209079_x_at"	56109
"211876_x_at"	56109
"215836_s_at"	56109
"205717_x_at"	56109
"211066_x_at"	56109
"216352_x_at"	56109
"212540_at"	997
"244154_at"	80821
"225970_at"	80821
"225971_at"	80821
"225965_at"	80821
"243705_at"	80821
"204697_s_at"	1113
"1555871_at"	284900
"244189_at"	284900
"232246_at"	284900
"226467_at"	79613
"1563127_at"	NA
"204693_at"	11135
"1560833_at"	643648
"221805_at"	NA
"221801_x_at"	NA
"221916_at"	NA
"221850_x_at"	642517
"221971_x_at"	642517
"242393_x_at"	642517
"243937_x_at"	642517
"239912_at"	9929
"201751_at"	9929
"229076_s_at"	9929
"1561573_at"	NA
"206461_x_at"	4496
"236008_at"	100128909
"217140_s_at"	NA
"217139_at"	NA
"1553940_a_at"	123355
"227423_at"	123355
"239471_at"	123355
"238897_at"	123355
"202375_at"	9871
"215209_at"	9871
"215641_at"	9871
"237425_at"	100505890
"214621_at"	2998
"211787_s_at"	NA
